problem,d,T,learned,learned_ci95,annual_band,annual_band_ci95,learned_advantage,advantage_ci95,n_paths
dividend,1,2,1.265378713607788,0.018322011455893517,1.1939939260482788,0.016829565167427063,0.07138475775718689,0.006613615434616804,1000
dividend,1,4,1.5665963888168335,0.022560089826583862,1.4864524602890015,0.02028723992407322,0.08014394342899323,0.008114956319332123,1000
dividend,1,6,1.7747080326080322,0.02366897091269493,1.6925278902053833,0.022120952606201172,0.08218016475439072,0.007658471819013357,1000
dividend,1,8,1.8850359916687012,0.02610979974269867,1.812303066253662,0.02287699468433857,0.07273286581039429,0.011585578322410583,1000
dividend,1,10,1.9764294624328613,0.024638008326292038,1.9002571105957031,0.022383397445082664,0.07617247104644775,0.009303508326411247,1000
harvesting,1,2,0.20675799250602722,0.011925866827368736,0.22223007678985596,0.012818952091038227,0.015472080558538437,0.002796518849208951,1000
harvesting,1,4,0.5416269302368164,0.017084911465644836,0.5830881595611572,0.019207220524549484,0.04146122559905052,0.005684363655745983,1000
harvesting,1,6,0.7732138633728027,0.019188640639185905,0.8370543122291565,0.021699637174606323,0.06384050101041794,0.005979124456644058,1000
harvesting,1,8,0.9202199578285217,0.01987646147608757,0.9892076253890991,0.022278698161244392,0.06898766756057739,0.00615728460252285,1000
harvesting,1,10,1.0117253065109253,0.01931588724255562,1.0966342687606812,0.02192973718047142,0.08490907400846481,0.005854502785950899,1000
dividend,6,2,7.43521785736084,0.04810052737593651,7.153317928314209,0.03996836394071579,0.28189992904663086,0.023739052936434746,1000
dividend,6,4,9.124408721923828,0.06175371631979942,8.896966934204102,0.049217671155929565,0.22744247317314148,0.035308923572301865,1000
dividend,6,6,10.213537216186523,0.06687367707490921,10.062132835388184,0.052053362131118774,0.15140381455421448,0.040834683924913406,1000
dividend,6,8,10.97413158416748,0.07467130571603775,10.849160194396973,0.05584568530321121,0.12497260421514511,0.04612769931554794,1000
dividend,6,10,11.417320251464844,0.07878290861845016,11.36502456665039,0.057945676147937775,0.05229593813419342,0.04963253065943718,1000
harvesting,6,2,1.279908299446106,0.028894981369376183,1.3642395734786987,0.03075760416686535,0.08433128893375397,0.007207205053418875,1000
harvesting,6,4,3.3447177410125732,0.04331623762845993,3.558945417404175,0.04646126553416252,0.21422751247882843,0.014616752043366432,1000
harvesting,6,6,4.741876125335693,0.04504763334989548,4.981288909912109,0.05059899389743805,0.23941276967525482,0.017113905400037766,1000
harvesting,6,8,5.657580852508545,0.04764239490032196,5.9569411277771,0.054205719381570816,0.2993599772453308,0.01717269793152809,1000
harvesting,6,10,6.271242141723633,0.04751154035329819,6.606678485870361,0.054405659437179565,0.33543676137924194,0.017992014065384865,1000
